N1,T1,N2,T2,N3,T3,N4
7,182,4,216,3,264,0
7,200,4,208,3,256,0
7,192,4,184,3,240,0
9,176,8,208,1,200,8
9,192,8,232,1,216,8
9,199,8,240,1,208,8
1,192,3,216,0,264,2
1,192,3,248,0,248,2
1,200,3,208,0,240,2
1,224,0,192,7,160,0
1,208,0,176,7,168,0
1,223,0,168,7,169,0
2,207,0,200,1,192,9
2,208,0,216,1,168,9
2,232,0,208,1,176,9
4,192,3,184,4,160,4
4,168,3,176,4,152,4
4,191,3,184,4,160,4
7,199,6,152,6,184,2
7,200,6,136,6,232,2
7,200,6,144,6,208,2
3,175,6,144,6,192,8
3,184,6,136,6,232,8
3,176,6,128,6,192,8
6,168,3,184,9,208,7
6,176,3,176,9,192,7
6,168,3,176,9,176,7
8,159,9,200,6,177,5
8,192,9,200,6,176,5
8,160,9,192,6,184,5
7,318,4,376,3,464,0
7,368,4,384,3,624,0
7,392,4,384,3,424,0
9,784,8,448,1,544,8
9,312,8,408,1,488,8
9,351,8,384,1,464,8
1,504,3,488,0,376,2
1,344,3,512,0,384,2
1,439,3,472,0,432,2
1,480,0,296,7,312,0
1,456,0,287,7,280,0
1,496,0,312,7,272,0
2,400,0,416,1,416,9
2,520,0,439,1,553,9
2,472,0,408,1,576,9
4,392,3,360,4,192,4
4,568,3,312,4,175,4
4,312,3,312,4,144,4
7,560,6,216,6,280,2
7,423,6,216,6,361,2
7,368,6,160,6,280,2
3,472,6,168,6,304,8
3,352,6,135,6,568,8
3,304,6,184,6,272,8
6,384,3,616,9,384,7
6,632,3,391,9,320,7
6,240,3,368,9,360,7
8,448,9,280,6,248,5
8,295,9,249,6,239,5
8,256,9,232,6,200,5
7,240,4,280,3,336,0
7,256,4,353,3,335,0
7,256,4,280,3,352,0
9,240,8,280,1,304,8
9,248,8,360,1,408,8
9,264,8,344,1,360,8
1,280,3,408,0,392,2
1,336,3,376,0,336,2
1,312,3,824,0,368,2
1,432,0,224,7,216,0
1,368,0,224,7,192,0
1,312,0,224,7,192,0
2,592,0,464,1,448,9
2,312,0,400,1,816,9
2,336,0,352,1,520,9
4,288,3,328,4,168,4
4,280,3,263,4,169,4
4,280,3,240,4,128,4
7,320,6,160,6,248,2
7,336,6,143,6,241,2
7,304,6,144,6,240,2
3,272,6,120,6,224,8
3,232,6,120,6,208,8
3,264,6,112,6,240,8
6,240,3,256,9,264,7
6,208,3,280,9,256,7
6,223,3,336,9,272,7
8,200,9,200,6,168,5
8,232,9,424,6,176,5
8,200,9,232,6,184,5
7,206,4,264,3,296,0
7,224,4,263,3,320,0
7,208,4,264,3,320,0
9,240,8,288,1,280,8
9,223,8,312,1,288,8
9,232,8,304,1,296,8
1,224,3,312,0,904,2
1,240,3,367,0,305,2
1,200,3,280,0,224,2
1,368,0,232,7,167,0
1,271,0,465,7,231,0
1,464,0,256,7,176,0
2,328,0,368,1,344,9
2,376,0,336,1,360,9
2,376,0,416,1,456,9
4,296,3,272,4,168,4
4,456,3,296,4,128,4
4,272,3,312,4,184,4
7,296,6,128,6,176,2
7,280,6,160,6,200,2
7,296,6,176,6,224,2
3,255,6,144,6,208,8
3,240,6,144,6,208,8
3,240,6,136,6,176,8
6,223,3,256,9,256,7
6,224,3,248,9,248,7
6,248,3,256,9,296,7
8,216,9,208,6,201,5
8,256,9,200,6,200,5
8,232,9,184,6,184,5
7,217,4,296,3,360,0
7,248,4,280,3,416,0
7,208,4,288,3,272,0
9,71,8,424,1,281,8
9,64,8,336,1,312,8
9,40,8,288,1,344,8
1,240,3,608,0,280,2
1,368,3,312,0,328,2
1,320,3,352,0,360,2
1,360,0,336,7,176,0
1,448,0,224,7,184,0
1,3328,0,840,7,176,0
2,368,0,440,1,448,9
2,400,0,505,1,455,9
2,352,0,328,1,432,9
4,288,3,288,4,120,4
4,319,3,313,4,119,4
4,312,3,344,4,144,4
7,424,6,144,6,280,2
7,384,6,128,6,232,2
7,392,6,136,6,280,2
3,376,6,136,6,280,8
3,352,6,128,6,240,8
3,352,6,136,6,273,8
6,216,3,424,9,248,7
6,184,3,440,9,320,7
6,192,3,360,9,296,7
8,240,9,312,6,192,5
8,192,9,208,6,184,5
8,192,9,231,6,152,5
7,342,4,296,3,400,0
7,280,4,287,3,385,0
7,240,4,256,3,296,0
9,336,8,400,1,416,8
9,248,8,328,1,328,8
9,264,8,296,1,272,8
1,248,3,320,0,320,2
1,240,3,320,0,344,2
1,336,3,536,0,400,2
1,384,0,320,7,320,0
1,328,0,279,7,257,0
1,344,0,280,7,240,0
2,360,0,376,1,360,9
2,343,0,400,1,392,9
2,376,0,360,1,360,9
4,319,3,312,4,264,4
4,232,3,552,4,272,4
4,272,3,248,4,200,4
7,304,6,176,6,265,2
7,320,6,216,6,288,2
7,296,6,208,6,248,2
3,264,6,168,6,232,8
3,272,6,168,6,232,8
3,232,6,160,6,216,8
6,255,3,304,9,328,7
6,272,3,352,9,336,7
6,264,3,272,9,280,7
8,216,9,233,6,199,5
8,264,9,256,6,216,5
8,256,9,264,6,232,5
4,230,5,232,7,280,9
4,192,5,224,7,224,9
4,184,5,216,7,224,9
2,240,7,192,8,240,1
2,256,7,224,8,264,1
2,232,7,232,8,265,1
5,216,1,240,6,224,4
5,200,1,224,6,216,4
5,200,1,215,6,233,4
8,296,3,232,4,192,2
8,240,3,216,4,184,2
8,272,3,207,4,184,2
5,184,7,248,6,232,1
5,192,7,224,6,208,1
5,200,7,223,6,216,1
4,216,6,264,1,208,4
4,216,6,248,1,192,4
4,248,6,256,1,216,4
2,256,8,200,7,184,5
2,232,8,192,7,184,5
2,231,8,193,7,176,5
2,224,6,160,6,224,7
2,216,6,168,6,248,7
2,1464,6,176,6,240,7
3,248,8,160,8,216,6
3,272,8,184,8,208,6
3,280,8,143,8,225,6
4,400,0,232,0,248,0
4,384,0,336,0,328,0
4,320,0,280,0,279,0
4,145,5,168,7,216,9
4,184,5,160,7,176,9
4,136,5,152,7,200,9
2,192,7,192,8,208,1
2,184,7,160,8,208,1
2,192,7,152,8,232,1
5,167,1,200,6,168,4
5,184,1,208,6,184,4
5,216,1,184,6,216,4
8,191,3,185,4,191,2
8,200,3,216,4,184,2
8,184,3,200,4,160,2
5,175,7,192,6,208,1
5,176,7,176,6,192,1
5,176,7,184,6,200,1
4,176,6,200,1,168,4
4,184,6,208,1,176,4
4,168,6,200,1,160,4
2,176,8,176,7,184,5
2,168,8,160,7,160,5
2,192,8,184,7,184,5
2,152,6,152,6,200,7
2,175,6,176,6,208,7
2,192,6,160,6,264,7
3,200,8,160,8,192,6
3,208,8,151,8,193,6
3,216,8,144,8,200,6
4,216,0,176,0,160,0
4,232,0,160,0,152,0
4,280,0,152,0,168,0
4,211,5,328,7,328,9
4,184,5,248,7,264,9
4,200,5,264,7,232,9
2,248,7,192,8,200,1
2,424,7,200,8,240,1
2,320,7,168,8,224,1
5,288,1,488,6,232,4
5,208,1,248,6,183,4
5,192,1,216,6,192,4
8,208,3,248,4,176,2
8,232,3,240,4,143,2
8,224,3,224,4,144,2
5,224,7,248,6,224,1
5,199,7,240,6,273,1
5,224,7,200,6,256,1
4,264,6,288,1,160,4
4,272,6,255,1,168,4
4,232,6,304,1,152,4
2,336,8,416,7,176,5
2,296,8,271,7,168,5
2,240,8,192,7,144,5
2,232,6,136,6,224,7
2,311,6,112,6,232,7
2,216,6,128,6,208,7
3,256,8,120,8,160,6
3,271,8,111,8,169,6
3,272,8,120,8,160,6
4,264,0,136,0,144,0
4,296,0,152,0,136,0
4,224,0,136,0,144,0
9,327,5,240,7,136,7
9,199,5,176,7,129,7
9,216,5,192,7,112,7
1,424,6,232,9,192,6
1,359,6,169,9,159,6
1,256,6,208,9,160,6
4,208,8,232,3,368,2
4,192,8,240,3,168,2
4,184,8,200,3,176,2
1,168,5,272,0,176,9
1,248,5,240,0,176,9
1,199,5,232,0,160,9
8,208,4,144,2,128,1
8,184,4,1008,2,184,1
8,240,4,168,2,160,1
8,192,5,200,2,232,9
8,176,5,168,2,208,9
8,168,5,168,2,208,9
9,232,3,224,6,216,9
9,199,3,184,6,168,9
9,272,3,248,6,200,9
5,200,6,224,7,168,2
5,167,6,216,7,152,2
5,208,6,264,7,200,2
8,192,0,232,3,208,7
8,183,0,224,3,208,7
8,176,0,272,3,240,7
3,256,1,128,1,168,2
3,232,1,119,1,160,2
3,248,1,136,1,168,2
